1 w 19750
2 i 5691
3 na 4243
4 z 3927
5 się 2272
6 ur 2217
7 do 2211
8 roku 1971
9 jest 1783
10 od 1714
11 przez 1290
12 zm 990
13 gmina 937
14 wieś 916
15 powiecie 899
16 to 898
17 polsce 886
18 we 846
19 oraz 813
20 a 796
21 województwie 793
22 miejscowość 754
23 położona 748
24 o 731
25 gminie 725
26 km 707
27 regionie 623
28 polski 587
29 lub 567
30 r 555
31 po 537
32 latach 507
33 francji 499
34 jako 454
35 departamencie 430
36 miasto 424
37 został 416
38 jego 416
39 nie 414
40 był 409
41 m 367
42 mieszkańców 366
43 września 365
44 rodziny 360
45 lutego 359
46 miasta 358
47 października 353
48 maja 352
49 marca 347
50 stycznia 344
51 listopada 343
52 lat 343
53 także 334
54 dla 332
55 są 328
56 pod 326
57 ang 324
58 kraju 323
59 części 322
60 ii 312
61 lipca 312
62 pozycji 307
63 również 307
64 czerwca 305
65 amerykański 305
66 przy 304
67 kwietnia 301
68 piłkarz 300
69 sierpnia 293
70 została 290
71 za 288
72 leży 281
73 znajduje 279
74 prowincji 269
75 który 262
76 the 262
77 grupy 260
78 świata 260
79 nad 260
80 obecnie 258
81 grudnia 255
82 odkryta 254
83 niem 251
84 zachód 250
85 ok 250
86 jej 247
87 hrabstwie 243
88 była 241
89 jak 240
90 stanie 235
91 nazwa 233
92 gatunek 231
93 ze 229
94 dystrykcie 226
95 anglii 225
96 de 223
97 tym 221
98 były 217
99 album 215
100 planetoida 215
101 polityk 209
102 jeden 208
103 skład 206
104 warszawie 205
105 odległości 204
106 ciągu 203
107 podczas 202
108 pierwszy 199
109 tego 196
110 około 195
111 według 194
112 średniej 192
113 of 190
114 wieku 188
115 ja 188
116 głównego 186
117 londynu 184
118 wojny 184
119 słońce 182
120 niemczech 182
121 które 181
122 północny 181
123 ros 180
124 zespół 180
125 pasa 178
126 okrążająca 178
127 wydany 174
128 wschód 174
129 ma 174
130 asteroid 172
131 zespołu 172
132 siedzibą 166
133 gminy 166
134 polska 160
135 występujący 158
136 grający 157
137 rodzaj 155
138 że 155
139 miejsce 153
140 część 152
141 występuje 150
142 co 147
143 u 145
144 typu 143
145 polskiego 142
146 terenie 141
147 światowej 141
148 film 139
149 on 139
150 położony 138
151 między 138
152 która 137
153 ten 136
154 npm 136
155 związkowym 136
156 też 135
157 usa 134
158 parafia 134
159 pochodzi 134
160 kościoła 134
161 tej 131
162 włoszech 129
163 której 129
164 północ 129
165 niemiecki 128
166 znany 127
167 stacja 127
168 północnej 127
169 ją 127
170 zjednoczonych 126
171 jedna 125
172 znajdująca 125
173 św 123
174 rodzaju 123
175 działacz 122
176 pomiędzy 121
177 ich 121
178 mieście 121
179 południowej 120
180 głównie 119
181 min 116
182 wchodzi 115
183 osób 114
184 przed 112
185 tylko 112
186 pochodzenia 112
187 gdzie 112
188 kościół 111
189 np 111
190 którym 109
191 pomocnika 109
192 jednak 109
193 pisarz 108
194 francuski 106
195 mazowieckim 106
196 wysokości 105
197 miała 105
198 mężczyzn 105
199 port 104
200 którego 104
201 czy 103
202 aktor 103
203 go 101
204 mistrzostw 100
205 linii 99
206 tytuł 99
207 kobiet 98
208 danych 98
209 nr 97
210 tys 97
211 położone 97
212 miejscowości 97
213 łac 97
214 raz 97
215 których 97
216 ngc 97
217 może 96
218 dwóch 96
219 należy 95
220 członek 95
221 południowy 94
222 wsi 93
223 centrum 93
224 jednym 93
225 reżyserii 90
226 lotniczy 90
227 szczyt 90
228 obrońcy 89
229 syn 89
230 nowym 89
231 b 88
232 grupa 88
233 klub 88
234 innych 87
235 iii 87
236 gwiazdozbiorze 87
237 język 86
238 europy 86
239 liczy 86
240 wynosi 86
241 jan 85
242 system 84
243 ale 84
244 krakowie 84
245 polskiej 83
246 osada 83
247 ul 83
248 być 83
249 armii 83
250 ukr 83
251 zachodniej 83
252 profesor 82
253 nim 82
254 wielkopolskim 82
255 siedziba 82
256 gra 82
257 dzielnicy 81
258 czasie 81
259 brytyjski 80
260 najbardziej 80
261 diecezji 79
262 łódzkim 78
263 wojska 78
264 historii 78
265 środkowej 78
266 często 78
267 jap 78
268 muzyki 77
269 wielkiej 77
270 piłkarski 77
271 poseł 76
272 sejm 76
273 wraz 76
274 drugi 76
275 później 76
276 park 75
277 uniwersytetu 75
278 wschodniej 75
279 lista 75
280 medalista 74
281 imię 74
282 liczyła 74
283 związek 74
284 kolejowa 74
285 wielu 73
286 serii 73
287 okresu 73
288 było 73
289 długości 72
290 autor 72
291 powstał 72
292 różnych 72
293 południe 72
294 pne 72
295 ulicy 72
296 la 72
297 klubu 72
298 stanach 72
299 amerykańska 71
300 włoski 71
301 and 71
302 woj 71
303 cm 71
304 gr 71
305 wydana 71
306 najczęściej 71
307 wyspy 71
308 rosyjski 70
309 należący 70
310 pobliżu 70
311 celu 70
312 odkrył 70
313 muzyczny 69
314 znajdują 69
315 posiada 69
316 l 69
317 należącego 69
318 galaktyka 69
319 ponad 69
320 mistrz 68
321 powstała 68
322 wyniku 68
323 można 68
324 ważki 68
